size,negative,mean_rank,map
5,5,301.82666666666665,0.11094718695687235
5,10,303.95166666666665,0.12411451107021175
5,20,308.89416666666665,0.13554517982747782
10,5,248.67625,0.1871359381260881
10,10,246.81875,0.19850412928716032
10,20,250.55833333333334,0.1935893457953216
20,5,211.33541666666667,0.23499737267346021
20,10,209.04625,0.22885376472145094
20,20,218.62958333333333,0.22950258770381815
50,5,191.4525,0.2545111050733583
50,10,211.11916666666667,0.25190704165360345
50,20,222.975,0.25119773724395766
100,5,190.00458333333333,0.2732111815295219
100,10,182.8675,0.26362949322656676
100,20,199.54916666666668,0.26517776993681896
200,5,175.03416666666666,0.2773603736439114
200,10,170.575,0.26762263927608343
200,20,178.82541666666665,0.2676386363370595
